station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Tipton,DY4 8ET,52.5304435872037,-2.06570141042911,TIP,1159.0,65809,TIPTON
Tir-Phil,NP24 6EL,51.7209099777901,-3.24638071768218,TIR,4025.0,78346,TIRPHIL
Tisbury,SP3 6JT,51.0608547013625,-2.07900235314654,TIS,5798.0,82335,TISBURY
Tiverton Parkway,EX16 7EH,50.9171813221454,-3.35964470229389,TVP,3474.0,83038,TIVIPW
Todmorden,OL14 7AA,53.7138194632262,-2.09965943045451,TOD,2677.0,31031,TODMRDN
Tolworth,KT5 9NX,51.3768589713388,-0.279461470253494,TOL,5573.0,87403,TOLWTH
Ton Pentre,CF41 7PN,51.6478046848615,-3.48618800586156,TPN,3897.0,78006,TONPNTR
Tonbridge,TN9 1TT,51.1914091023883,0.270973040315046,TON,5229.0,89363,TONBDG
Tondu,CF32 9DR,51.5473663227457,-3.59555017729116,TDU,4271.0,79811,TONDU
Tonfanau,LL36 8LP,52.6135468965275,-4.12369885546038,TNF,4432.0,64402,TONFNAU
Tonypandy,CF40 2TU,51.6197667532961,-3.44886987891094,TNP,3882.0,78012,TNYPNDY
Tooting,SW17 9JR,51.4198469961315,-0.161277733507952,TOO,5389.0,87614,TOOTING
Topsham,EX3 0DS,50.6862203262687,-3.46442333198769,TOP,5758.0,83471,TOPSHAM
Torquay,TQ2 6NU,50.4611380634478,-3.54327594539,TQY,3434.0,83628,TORQUAY
Torre,TQ2 5DD,50.4731928677087,-3.54641660505946,TRR,3432.0,83627,TORRE
Totnes,TQ9 5JR,50.4358693458766,-3.68869310888308,TOT,3558.0,83702,TOTNES
Tottenham Court Road,W1D 2DA,51.516211,-0.13111,TCR,6556.0,73113,TOTCTRD
Tottenham Hale,N17 9LR,51.5883082398585,-0.059929186804236,TOM,6951.0,51931,TTNHMHL
Totton,SO40 3AB,50.9178818831145,-1.48241746383595,TTN,5921.0,86711,TOTTON
Town Green,L39 6RG,53.5428100769396,-2.90448705065032,TWN,2283.0,36011,TOWNGRN
Trafford Park,M32 1AA,53.4548193213439,-2.31063143398479,TRA,2969.0,33093,TRFDPK
Trefforest,CF37 1SL,51.5914659241903,-3.3251183998884,TRF,3887.0,78216,TREFRST
Trefforest Estate,CF38 1SG,51.5682957877526,-3.29024872024258,TRE,3886.0,78218,TRFRSTE
Trehafod,CF37 2LL,51.6101545413631,-3.38097518223294,TRH,3888.0,78017,TREHAFD
Treherbert,CF42 5HU,51.6722471952406,-3.53630316238398,TRB,3889.0,78001,TREHRBT
Treorchy,CF42 6UE,51.6575366924712,-3.50573449244853,TRY,3891.0,78004,TREORCY
Trimley,IP10 0TS,51.9765250471403,1.31953626824096,TRM,7225.0,49138,TRIMLEY
Tring,HP23 5QR,51.8007404909572,-0.622439409212481,TRI,1393.0,70411,TRING
Troed-Y-Rhiw,CF48 4DY,51.7124291993822,-3.34674461017176,TRD,4276.0,78142,TRDYRHW
Troon,KA10 6JY,55.5428169262541,-4.65530071764014,TRN,9562.0,08519,TROON
Trowbridge,BA14 8HW,51.3198329746229,-2.21433470656225,TRO,3348.0,82085,TRWBRDG
Truro,TR1 3HH,50.2638475426037,-5.06481369270845,TRU,3540.0,85501,TRURO
Tulloch,PH31 4AR,56.884284329806,-4.70132227038737,TUL,8837.0,06029,TULLOCH
Tulse Hill,SE27 9BW,51.4398596365436,-0.105076767451685,TUH,5390.0,87611,TULSEH
Tunbridge Wells,TN1 1BT,51.1302317896919,0.262810301606958,TBW,5230.0,89375,TUNWELL
Turkey Street,EN3 5TT,51.6726264627085,-0.0472166384344608,TUR,6952.0,51942,TURKYST
Tutbury and Hatton,DE65 5DX,52.8641363447111,-1.68223510400767,TUT,1783.0,57471,TUTBURY
Tweedbank,TD1 3AB,55.6057443892672,-2.7595315732595,TWB,9500.0,04714,TWDBANK
Twickenham,TW1 1BD,51.4500300055077,-0.330393822267269,TWI,5574.0,87131,TWCKNHM
Twyford,RG10 9NA,51.4755338005578,-0.863292640920522,TWY,3155.0,74023,TWYFORD
Ty Croes,LL63 5HX,53.2225630848069,-4.47473384721394,TYC,2439.0,40015,TYCROES
